# Hugoniot of iron from Brown et al. (2000)
# Reference density: rho0 = 7.850 gm/cm^3 
# Up            Us          P           rho
# (km/s)    (km/s)          (GPa)       (gm/cc)
0.9484      5.31710         39.62       9.551
0.9573      5.34310         40.12       9.561
0.9998      5.45610         42.74       9.612
1.0649      5.54110         46.35       9.722
1.4282      6.21013         69.62       10.191
1.4433      6.22420         70.54       10.222
1.6461      6.55027         84.64       10.482
1.7054      6.65916         89.14       10.552
1.9519      7.04211         107.87      10.863
1.9835      7.08121         110.26      10.902
2.2805      7.55131         135.19      11.253
2.60713     8.07023         165.213     11.604
2.6436      8.13123         168.79      11.633
2.7155      8.23115         175.46      11.712
2.7225      8.22312         175.76      11.732
2.7354      8.26925         177.58      11.733
2.7417      8.33918         179.48      11.693
2.8856      8.48045         191.814     11.905
3.04312     8.78120         209.513     12.014
3.11723     8.91639         218.225     12.078
3.18329     9.05474         226.239     12.1111
3.19418     8.99348         225.525     12.177
3.3637      9.25026         244.212     12.333
3.3677      9.28422         245.711     12.323
2.5745      7.99595         161.522     11.588
3.1606      8.94840         222.014     12.144
3.4988      9.57043         262.818     12.385
3.5857      9.67352         272.220     12.475
3.6197      9.62914         273.69      12.583
3.6847      9.79322         283.212     12.583
3.8229      10.00250        300.122     12.706
3.9538      10.12732        314.316     12.884
4.0848      10.25551        328.822     13.056
4.2689      10.58516        354.613     13.153
4.2979      10.72795        361.840     13.1010
4.5949      11.11123        400.716     13.384
4.89410     11.50896        442.146     13.6611
